google_folder_id,google_folder_name,google_folder_color_rgb,google_folder_url
1krbPaKBIxmh0O5Eni-wiS1QGG_H8CBZk,04-Sùng Thị Liên,#8f8f8f,https://drive.google.com/drive/folders/1krbPaKBIxmh0O5Eni-wiS1QGG_H8CBZk
186RkEQOSijbkWD6Z4N3XGFAdT4oKMYwS,04-Tong hop DS xac nhan cua Phu huynh HS cac lop (THCS Nậm Khắt),#8f8f8f,https://drive.google.com/drive/folders/186RkEQOSijbkWD6Z4N3XGFAdT4oKMYwS
1s2BDkOeqz-JfLTmlMHpgoBB8SQHdHo2d,04-Tong hop DS xac nhan cua Phu huynh HS cac lop (THCS Nậm Khắt),#8f8f8f,https://drive.google.com/drive/folders/1s2BDkOeqz-JfLTmlMHpgoBB8SQHdHo2d
1HJn0VpmEY57gFfaD9OTZ_FJvzIc2FnRq,04-ảnh học sinh lớp 6D,#8f8f8f,https://drive.google.com/drive/folders/1HJn0VpmEY57gFfaD9OTZ_FJvzIc2FnRq
1CDPWSp-Tf2IxMItBaaE6LoV9VGAQhzct,04. BÀN THỊ YẾN,#8f8f8f,https://drive.google.com/drive/folders/1CDPWSp-Tf2IxMItBaaE6LoV9VGAQhzct
15Mc-qxmkJDmJiRteRpakozfOGUIzkEZ3,04. Thào Thị Phúc,#8f8f8f,https://drive.google.com/drive/folders/15Mc-qxmkJDmJiRteRpakozfOGUIzkEZ3
1U1htmPaX-elyYiTwkfWKEOnWWAChXpCo,04. Trường Mầm non Yên Vượng,#8f8f8f,https://drive.google.com/drive/folders/1U1htmPaX-elyYiTwkfWKEOnWWAChXpCo
1CVjx3SseTSfkbpsBH4djsG0zgA87wvzm,05 GIÀNG DUY KHÁNH,#8f8f8f,https://drive.google.com/drive/folders/1CVjx3SseTSfkbpsBH4djsG0zgA87wvzm
1XtGXMP9gjIMw4vehKL9ggwSHq2IYFGZd,05 LY THỊ HOA,#8f8f8f,https://drive.google.com/drive/folders/1XtGXMP9gjIMw4vehKL9ggwSHq2IYFGZd
1dcKum5wmkZXLBjRMy91ESPL3O0nIW1LZ,05 Trường Tiểu học Nguyên Bình ,#8f8f8f,https://drive.google.com/drive/folders/1dcKum5wmkZXLBjRMy91ESPL3O0nIW1LZ
16OFTK1f7tfGf3lH4fi5eosGBNWoT2fJi,05 Trường Mầm Non Hoạ Mi Đak Pơ,#8f8f8f,https://drive.google.com/drive/folders/16OFTK1f7tfGf3lH4fi5eosGBNWoT2fJi
1cFFTcuf2dLp4Y1qXnD7att1RCKKfKz3r,05 Vừ Minh Thanh,#8f8f8f,https://drive.google.com/drive/folders/1cFFTcuf2dLp4Y1qXnD7att1RCKKfKz3r
1WFSFOtMijiKm3fRhCeP7YM7UzXKaRjIe,05-Anh hoc sinh lop 7A,#8f8f8f,https://drive.google.com/drive/folders/1WFSFOtMijiKm3fRhCeP7YM7UzXKaRjIe
14BH63_QtV62_20RmpOvxMXHwcePD8f4o,05-Tẩn Thị Thảo,#8f8f8f,https://drive.google.com/drive/folders/14BH63_QtV62_20RmpOvxMXHwcePD8f4o
1diZzWdD3QnMM-JX2E_U6kzg1JSAWpvR0,05-Vừ Thị Tuyết Mai,#8f8f8f,https://drive.google.com/drive/folders/1diZzWdD3QnMM-JX2E_U6kzg1JSAWpvR0
1re4F7n5oFYg2FNW6oUdZ-QRTv74FiKIQ,05. Giàng Thị Lan,#8f8f8f,https://drive.google.com/drive/folders/1re4F7n5oFYg2FNW6oUdZ-QRTv74FiKIQ
1mZHbiPC5QTeC110U4ErK53OSOb1h42SR,05. GIÀNG THỊ XUA,#8f8f8f,https://drive.google.com/drive/folders/1mZHbiPC5QTeC110U4ErK53OSOb1h42SR
1oD1eDAT5Qsef4FuMswCzo157edpsf4GV,06 Mẫu Giáo Sao Mai,#8f8f8f,https://drive.google.com/drive/folders/1oD1eDAT5Qsef4FuMswCzo157edpsf4GV
1CRCcpMcWveDP6sDvIvttbnAzy5OkB7VY,06 THÀO MÍ LỬ,#8f8f8f,https://drive.google.com/drive/folders/1CRCcpMcWveDP6sDvIvttbnAzy5OkB7VY
1wI7Bvb8romM_WEiJt32k0LTLxCQ1cW3M,06 THÀO THỊ NGỌC,#8f8f8f,https://drive.google.com/drive/folders/1wI7Bvb8romM_WEiJt32k0LTLxCQ1cW3M
1HfQP0JdVoDHUBSnVmwFK4bbEalbNlVbl,06 Trường Mầm non Hoa Hồng ,#8f8f8f,https://drive.google.com/drive/folders/1HfQP0JdVoDHUBSnVmwFK4bbEalbNlVbl
1z2ybUOw3x0VjBrj6ph8uvUMXUh_cOUyw,06 Trường mầm non Sơn Thủy,#8f8f8f,https://drive.google.com/drive/folders/1z2ybUOw3x0VjBrj6ph8uvUMXUh_cOUyw
1KYZ2nVvRIWViImJQv2nsfIhKiiYFxZEB,06 Vàng Mí Thắng,#8f8f8f,https://drive.google.com/drive/folders/1KYZ2nVvRIWViImJQv2nsfIhKiiYFxZEB
1fjC6UCP97YQPmFHwFcMI1RUDA6ITikEt,06-Tẩn Thị Dung,#8f8f8f,https://drive.google.com/drive/folders/1fjC6UCP97YQPmFHwFcMI1RUDA6ITikEt
1K7TqeDZbYGBB5aoo9i-U8YmfWr0q6AG2,06-Vàng Thị Máy,#8f8f8f,https://drive.google.com/drive/folders/1K7TqeDZbYGBB5aoo9i-U8YmfWr0q6AG2
1UeEdx6FsJIko58d1ZDFG8T_Ci3MEoL2e,06-Ảnh hoc sinh lop 7B,#8f8f8f,https://drive.google.com/drive/folders/1UeEdx6FsJIko58d1ZDFG8T_Ci3MEoL2e
1Fb6u7z3sVxe-Gxe72G2aFyz5wQM_odIO,06. Giàng Thị Phương,#8f8f8f,https://drive.google.com/drive/folders/1Fb6u7z3sVxe-Gxe72G2aFyz5wQM_odIO
1qOjLvZ7g-nOaxo7nbDGAMPApo-CTnCma,06. LÝ HỒNG DUYÊN,#8f8f8f,https://drive.google.com/drive/folders/1qOjLvZ7g-nOaxo7nbDGAMPApo-CTnCma
1OmrGcAstK1RZjP-kFvRAEN2IGFQscQZZ,06. Tiểu học Tân Thành,#8f8f8f,https://drive.google.com/drive/folders/1OmrGcAstK1RZjP-kFvRAEN2IGFQscQZZ
1-5-BAcTKp4YjHVodx8xBjDjQ4PQmKl6X,07 Giàng Ngọc Trung,#8f8f8f,https://drive.google.com/drive/folders/1-5-BAcTKp4YjHVodx8xBjDjQ4PQmKl6X
18Xjy6-gQOiEomVvym49lEooUIN-ikspt,07 LY THỊ CÔ,#8f8f8f,https://drive.google.com/drive/folders/18Xjy6-gQOiEomVvym49lEooUIN-ikspt
1kPQMba_fFuhur-T2bNTIU5aEt4defNem,07 Mầm non Sơn Hà,#8f8f8f,https://drive.google.com/drive/folders/1kPQMba_fFuhur-T2bNTIU5aEt4defNem
1d2waxY2BgzzM933t4ws9kT7KBJjLI3_C,07 THÀO MÍ MINH,#8f8f8f,https://drive.google.com/drive/folders/1d2waxY2BgzzM933t4ws9kT7KBJjLI3_C
1Ny7GHErGMWmeSpVQVHKx48fqU7sqV3FY,07 TRƯỜNG MẦM NON HOA MAI XÃ ĐAK PƠ,#8f8f8f,https://drive.google.com/drive/folders/1Ny7GHErGMWmeSpVQVHKx48fqU7sqV3FY
1bj3UN-2x3OCspM_TAAL0F7ymkz9YxI9g,07 Trường Tiểu học Lê Văn Tám,#8f8f8f,https://drive.google.com/drive/folders/1bj3UN-2x3OCspM_TAAL0F7ymkz9YxI9g
1yksopOsrrbLxktkfldppuD56ShjVWXX2,07-Giàng Thìn Quân,#8f8f8f,https://drive.google.com/drive/folders/1yksopOsrrbLxktkfldppuD56ShjVWXX2
1IRRumK-NzLv9dfbuEmV8OqUuhTUx6l4b,07-Phùng Thị Thúy Kiều,#8f8f8f,https://drive.google.com/drive/folders/1IRRumK-NzLv9dfbuEmV8OqUuhTUx6l4b
1u3M1fdkyBJmFDc5V0BKIJTkMwL58Tdwt,07-Ảnh học sinh 7C,#8f8f8f,https://drive.google.com/drive/folders/1u3M1fdkyBJmFDc5V0BKIJTkMwL58Tdwt
1XIONHhdASJ2ZARnY4ofAKMSLr7YFJvnf,07. PTDTBT Tiểu học Sơn Thủy,#8f8f8f,https://drive.google.com/drive/folders/1XIONHhdASJ2ZARnY4ofAKMSLr7YFJvnf
1xwc1KgcCxyzS87Bk3D8RvMRJJ-EegNnQ,07. Vàng Thị Duyên,#8f8f8f,https://drive.google.com/drive/folders/1xwc1KgcCxyzS87Bk3D8RvMRJJ-EegNnQ
1PJIUrRWr4YqsX9990_JErIgilIFKRjrO,07.. GIÀNG THỊ  HOA,#8f8f8f,https://drive.google.com/drive/folders/1PJIUrRWr4YqsX9990_JErIgilIFKRjrO
1AeWvmeE43fHuLWMmwSIq6LWKvkLjrxMP,08 Mầm non Sơn Điện 1,#8f8f8f,https://drive.google.com/drive/folders/1AeWvmeE43fHuLWMmwSIq6LWKvkLjrxMP
1Z-TIEdt_aLvHM1oQD23ohvGxvBvB5Y4r,08 Sùng Thị Xuân,#8f8f8f,https://drive.google.com/drive/folders/1Z-TIEdt_aLvHM1oQD23ohvGxvBvB5Y4r
1I0nHLVlM-ieqskJzflutITT0HVyZeWoh,08 THÀO MINH THÚY,#8f8f8f,https://drive.google.com/drive/folders/1I0nHLVlM-ieqskJzflutITT0HVyZeWoh
11TZaMtDyI77wnZiQ5URVshkdWdt8lKDL,08 THÀO NGUYỆT NGA,#8f8f8f,https://drive.google.com/drive/folders/11TZaMtDyI77wnZiQ5URVshkdWdt8lKDL
1l5Zjx6wHtEPzsoyEF1945qnVe2khivij,08 Trường Tiểu học Kpă Klơng,#8f8f8f,https://drive.google.com/drive/folders/1l5Zjx6wHtEPzsoyEF1945qnVe2khivij
1Ml-Z2ytYLRyeGGiFQpJKU9tixEEizOX8,08-Chảo Thị Hương,#8f8f8f,https://drive.google.com/drive/folders/1Ml-Z2ytYLRyeGGiFQpJKU9tixEEizOX8
1VS_UpnGR3bYSFLgy6Rsf53onF6ZznOBA,08-Lầu Thị Phương,#8f8f8f,https://drive.google.com/drive/folders/1VS_UpnGR3bYSFLgy6Rsf53onF6ZznOBA
1ymqlVctar1HFSf-Y0n2BaK9Hd9eern_Q,08-Ảnh học sinh lop 8A,#8f8f8f,https://drive.google.com/drive/folders/1ymqlVctar1HFSf-Y0n2BaK9Hd9eern_Q
1fA4PajcG-wxITQVx1Jv7OSB9c_r1AUO3,08. GIÀNG XUÂN MAI,#8f8f8f,https://drive.google.com/drive/folders/1fA4PajcG-wxITQVx1Jv7OSB9c_r1AUO3
16YhLk60pJmu4HE4H524o_Vtjc_tKG3DC,08. Trường Tiểu học Yên Bình,#8f8f8f,https://drive.google.com/drive/folders/16YhLk60pJmu4HE4H524o_Vtjc_tKG3DC
1AEGZzPlMjzJu16ENGh_aiKHiHLsMbaZb,08. Vàng Văn Dũng,#8f8f8f,https://drive.google.com/drive/folders/1AEGZzPlMjzJu16ENGh_aiKHiHLsMbaZb
1N6CiFOQoAYfJzgNqqHZKHbBjI3lfAIEv,09 THÀO THỊ QUỲNH CHI,#8f8f8f,https://drive.google.com/drive/folders/1N6CiFOQoAYfJzgNqqHZKHbBjI3lfAIEv
1GZP63AorIqj9yZps7GdkfIExB0s6y_hk,09 THÀO THỊ VÂN,#8f8f8f,https://drive.google.com/drive/folders/1GZP63AorIqj9yZps7GdkfIExB0s6y_hk
17ZOhvskX9RHgxmYFboU9UA-n1ZYrWWVw,09 Trường mầm non Họa Mi Chư Pưh,#8f8f8f,https://drive.google.com/drive/folders/17ZOhvskX9RHgxmYFboU9UA-n1ZYrWWVw
1k4XEXW6nnagLz4gPk1eYp1ksv3czKHht,09 Trường Mầm non Thể Dục,#8f8f8f,https://drive.google.com/drive/folders/1k4XEXW6nnagLz4gPk1eYp1ksv3czKHht
1hoZYzCx0Cs4CpGEEWxVXJ3PKSzLJ_jQg,09 Trường THCS Nguyễn Du,#8f8f8f,https://drive.google.com/drive/folders/1hoZYzCx0Cs4CpGEEWxVXJ3PKSzLJ_jQg
1Llj4Tr-O1MWI5kh-8s8u1drONT5vVpYr,09 Vàng Nhật Anh,#8f8f8f,https://drive.google.com/drive/folders/1Llj4Tr-O1MWI5kh-8s8u1drONT5vVpYr
1v5iiRMpkAiorb3ATQikcGiD7RipWXOG5,09-Thào Mí Tuấn,#8f8f8f,https://drive.google.com/drive/folders/1v5iiRMpkAiorb3ATQikcGiD7RipWXOG5
1adl-QQNJHsoy73hTAL8XpXmIULo9fUYt,09-Tẩn Văn Tuấn,#8f8f8f,https://drive.google.com/drive/folders/1adl-QQNJHsoy73hTAL8XpXmIULo9fUYt
12QmZae1AeQLTESt_8zVmZvPy7ItmwJ65,09-Ảnh HS lớp 8B,#8f8f8f,https://drive.google.com/drive/folders/12QmZae1AeQLTESt_8zVmZvPy7ItmwJ65
11CA479y--9Ozun7PYWO8bwiH8IipxL4k,09. BÀN THỊ TÂM,#8f8f8f,https://drive.google.com/drive/folders/11CA479y--9Ozun7PYWO8bwiH8IipxL4k
1jWymdLNWBd7u7DKCJk98uuc4e6sqnAeU,09. Trường Mầm Non Nắng Sớm,#8f8f8f,https://drive.google.com/drive/folders/1jWymdLNWBd7u7DKCJk98uuc4e6sqnAeU
1ADs__asPTi7mCvK2UvyDJ2nZY2gjyRdS,09. Vàng Thị Mến,#8f8f8f,https://drive.google.com/drive/folders/1ADs__asPTi7mCvK2UvyDJ2nZY2gjyRdS
1xzf6NqEwQTzObfmTe_c9_t860zM396lK,1 Ảnh Nha trẻ diem chinh,#8f8f8f,https://drive.google.com/drive/folders/1xzf6NqEwQTzObfmTe_c9_t860zM396lK
1RmqsxUtqyme14wQpZgT2RJxa2GdU-99a,1 BB,#8f8f8f,https://drive.google.com/drive/folders/1RmqsxUtqyme14wQpZgT2RJxa2GdU-99a
11w1XspTd59STpewfz6Kb-vACauLVlBC3,1 bữa,#8f8f8f,https://drive.google.com/drive/folders/11w1XspTd59STpewfz6Kb-vACauLVlBC3
1psdJysZQUTEqw6n4wSZeqWSyvRVeFF_I,1 bữa - 76 HS,#8f8f8f,https://drive.google.com/drive/folders/1psdJysZQUTEqw6n4wSZeqWSyvRVeFF_I
12Hx5Tcjsxhlt12wWAPyzWWZJSE1vNMAq,1 bữa - 90 HS,#8f8f8f,https://drive.google.com/drive/folders/12Hx5Tcjsxhlt12wWAPyzWWZJSE1vNMAq
1xv6QDyY_InH5dnDJ1AP6VqhDPg3GM8HD,1 BỮA - ẢNH DỰ ÁN NUÔI EM NĂM HỌC 2025-2026,#8f8f8f,https://drive.google.com/drive/folders/1xv6QDyY_InH5dnDJ1AP6VqhDPg3GM8HD
1opo7Bnn6uKZcIVA4antyJ-aph13CRrrT,1 Mầm non An Thắng,#8f8f8f,https://drive.google.com/drive/folders/1opo7Bnn6uKZcIVA4antyJ-aph13CRrrT
